species,owner,country_of_origin,farm_name,lot_number,mill,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
Arabica,juan luis alvarado romero,Guatemala,finca medina,NA,beneficio 2000,"siembras vision, s.a.",5000,"sacatepequez, guatemala","SIEMBRAS VISION, S.A",250,69 kg,Asociacion Nacional Del Café,2012,"April 30th, 2012",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,0.1
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,NA,NA,NA,3,100 lbs,Specialty Coffee Association,NA,"April 21st, 2011",Kona Pacific Farmers Cooperative,NA,NA,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,0
Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,0.11
Arabica,juan luis alvarado romero,Guatemala,finca santa clara,11/52/1170,beneficio exportacafe agua santa,exportcafe,3702,huehuetenango,JUAN RAMIREZ MORALES,275,69 kg,Asociacion Nacional Del Café,2016,"July 5th, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.11
Arabica,racafe & cia s.c.a,Colombia,NA,3-37-2548,bachue,racafe & cia s.c.a,NA,huila,La Plata,275,70 kg,Almacafé,2016,"April 15th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,0.11
Arabica,yunnan coffee exchange,China,menglian mang pan professional cooperative,YNC-16029,menglian mang pan professional cooperative,yunnan coffee exchange,1100,yunnan,Menglian Mang Pan Professional Cooperative,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.1
Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,0.12
Arabica,andreas kussmaul,Mexico,exportadora café california,NA,exportadora café california,exportadora café california,1200,"chiapas, jaltenango",Exportadora Café California,275,2 kg,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2014,"May 12th, 2015",ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,0.12
Arabica,essencecoffee,Ethiopia,lomi tasha,NA,worka,essence coffee,1700-2000m,yirgacheffe,LevelUp,250,60 kg,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,0
Arabica,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers,NA,bulamburi coffee farmers,bulamburi coffee farmers association,1800,eastern,Bulamburi coffee farmers association,100,60 kg,Uganda Coffee Development Authority,2013,"June 27th, 2014",Bulamburi coffee farmers association,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,0.12
Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,NA,trilladora boananza,ecom cca sa,1600,cundinamarca,NA,250,70 kg,Almacafé,2014,"June 24th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,0
Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,NA,trilladora agricola,ecom cca sa,1550,santander,NA,250,70 kg,Almacafé,2014,"March 13th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,0.12
Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,NA,trilladora agricola,ecom cca sa,1550,santander,NA,250,70 kg,Almacafé,2014,"March 21st, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,0
Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,dragon coffee 龍咖啡,NA,dragon coffee 龍咖啡,blossom valley宸嶧國際,1000 m,taichung xinshe 台中市新社區,Gu zhi min 古智閔,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,0.11
Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,c.i.racafe & cia s.c.a,de 1.600 a 1.950 msnm,huila,LA PLATA,275,70 kg,Almacafé,2012,"August 31st, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,0.11
Arabica,alfredo bojalil,Mexico,ojo de agua,NA,agroindustrias unidas de mexico,ecomtrading,1000,xalapa,JULIAN ALBERTO URRUTIA MOYA,250,1 kg,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,0.12
Arabica,carcafe ltda ci,Colombia,NA,NA,NA,carcafe ltda,2136 msnm,cundinamarca,ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA,250,70 kg,Almacafé,2012,"April 2nd, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.11
Arabica,nucoffee,Brazil,fazenda jericó,NA,NA,nucoffee,1100m,south of minas,Alvaro Resende Aguiar,33,60 kg,NUCOFFEE,2012,"January 23rd, 2012",NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,0.12
Arabica,carcafe ltda ci,Colombia,NA,3-59-1695,bogota,carcafe ltda,1799,cundinamarca,Orlando Moreno / Willson Sanchez,50,70 kg,Almacafé,2016,"February 20th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,0
Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,南投縣魚池鄉水社村中正路63-1號,2,黑咖啡道咖啡,宸嶧國際,NA,NA,黑咖啡道王憲備0912326001,1,10 kg,Blossom Valley International,2016 / 2017,"February 13th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,NA,NA,7.58,7.58,7.17,7.17,7,7,10,10,10,10,0.11
Arabica,"ceca, s.a.",Costa Rica,NA,8038,beneficio montañas del diamante,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,245,69 kg,Specialty Coffee Association of Costa Rica,2015,"June 6th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,0
Arabica,carcafe ltda ci,Colombia,NA,3-59-1919,neiva,carcafe ltda,1000,pitalito,Mecias Urbano / Yaniver Alvarez,250,70 kg,Almacafé,2016,"April 7th, 2016",CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,0
Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0145,beneficio ixchel,"unex guatemala, s.a.",4000,oriente,MARGARITA AVILA DE NUYENS,250,69 kg,Asociacion Nacional Del Café,2016,"March 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.1
Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,180,70 kg,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,0.12
Arabica,damari absalome,"Tanzania, United Republic Of",ano family,NA,arusha,tawoca,1400m,nkure- meru,Mr & Mrs Damari Absalome,5,60 kg,Africa Fine Coffee Association,2015,"November 16th, 2015",Damari Absalome,Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,0.13
Arabica,aulia arif syahri,Indonesia,yusrin,NA,olam,pt. olam indonesia,1500,bener meriah,Yusrin,200,30 kg,Specialty Coffee Association,2015,"September 14th, 2015",Aulia Arif Syahri,Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,0.13
Arabica,debesa agro industry plc,Ethiopia,NA,NA,NA,debesa agro industry plc,1600 on average,oromia,Debesa,320,60 kg,METAD Agricultural Development plc,2014,"March 31st, 2015",Debesa Agro Industry Plc,NA,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,0.1
Arabica,federacion nacional de cafeteros,Colombia,NA,NA,NA,federacion nacional de cafeteros,NA,huila,NA,275,2 kg,Almacafé,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,NA,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,0
Arabica,exportadora de cafe condor s.a,Colombia,NA,NA,bonanza - armenia,exportadora de cafe condor s.a,1850 msnm,huila,NA,275,70 kg,Almacafé,2014,"January 22nd, 2015",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,0.11
Arabica,the coffee source inc.,Guatemala,several,NA,ixchel,the coffee source inc.,1400 mts,atitlan,UNEX,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"December 18th, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,0.1
Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,NA,trilladora boananza,ecom cca sa,1650,cundinamarca,NA,250,70 kg,Almacafé,2014,"August 11th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,0
Arabica,NA,Honduras,los hicaques,NA,cigrah sps,cigrah,1350,comayagua,Reynerio Zepeda,275,1 kg,Instituto Hondureño del Café,2014/2015,"April 8th, 2014",NA,Caturra,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,0.1
Arabica,exportadora de cafe condor s.a,Colombia,NA,NA,trilladora boananza,exportadora de cafe condor s.a,1750 msnm,huila,NA,250,70 kg,Almacafé,2013,"April 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,0
Arabica,exportadora de cafe condor s.a,Colombia,NA,NA,trilladora boananza,exportadora de cafe condor s.a,1750 msnm,huila,NA,250,70 kg,Almacafé,2013,"May 24th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,0.11
Arabica,manuel herrera juarez,Mexico,finca los barreales 1112lban,NA,finca los barreales,finca los barreales,1170,xalapa,MANUEL HERRERA JUAREZ,10,1 kg,AMECAFE,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,0.13
Arabica,miguel cortes moreno,Mexico,NA,NA,"comunidad de sacún palma, municipio de chilón, chiapas",estrategias constructivas corzu s.a. de c.v.,940,chilón,ARMANDO GUTIERREZ GUZMAN,10,1 kg,AMECAFE,2012,"August 30th, 2012",MIGUEL CORTES MORENO,Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,0.11
Arabica,gabriel bernardo rivas ross,Mexico,la corralera,NA,dos puentes de finca kassandra,NA,1400,totutla,GABRIEL BERNARD RIVAS ROSS,15,1 kg,AMECAFE,2012,"July 11th, 2012",GABRIEL BERNARDO RIVAS ROSS,Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,0.12
Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,NA,"palinsa, beneficiado seco / santo tomas pachuj, beneficiado humedo",kanematsu corporation / rnp santo tomas pachuj,5000,atitlan,RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION,275,69 kg,Asociacion Nacional Del Café,2012,"April 30th, 2012",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,0.1
Arabica,racafe & cia s.c.a,Colombia,NA,NA,NA,c.i.racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,175,70 kg,Almacafé,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,0.11
Arabica,felipe isaza,Guatemala,conquista / morito,NA,beneficio ixchel,coffee resources inc.,4600 ft.,oriente,ConquistaMorito,250,2 kg,Specialty Coffee Association,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,0
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,NA,NA,NA,14,100 lbs,Specialty Coffee Association,NA,"March 8th, 2011",Kona Pacific Farmers Cooperative,NA,NA,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,0.01
Arabica,specialty coffee association of indonesia,Indonesia,pancoer angkrek,NA,pt. perkebunan nusantara xii,NA,1600,bondowoso,PT. PERKEBUNAN NUSANTARA XII,10,60 kg,Specialty Coffee Association of Indonesia,23 July 2010,"November 29th, 2010",Specialty Coffee Association of Indonesia,NA,NA,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,0
Arabica,carcafe ltda ci,Colombia,NA,3-59-0504,neiva,carcafe ltda,439,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,300,29 kg,Almacafé,2017 / 2018,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,0
Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0696,beneficio ixchel,"unex guatemala, s.a.",1700,san marcos,JORGE LEAL,50,69 kg,Asociacion Nacional Del Café,2017,"August 23rd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,0.1
Arabica,carcafe ltda ci,Colombia,NA,3-59-2318,cartago,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLOTO TORRES,600,29 kg,Almacafé,2016,"May 10th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,0.11
Arabica,"ceca, s.a.",Costa Rica,gamboa,8885,beneficio montañas del diamante,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,275,69 kg,Specialty Coffee Association of Costa Rica,2016,"February 17th, 2017","CECA, S.A.",Caturra,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,0.09
Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,日月潭文武莊園,1,南投縣埔里鎮蜈蚣里,宸嶧國際,NA,NA,黃素貞0939227229,1,10 kg,Blossom Valley International,2015,"February 13th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,NA,NA,7.67,7.67,7,7.08,7,7,10,10,10,10,0.11
Arabica,bugisu cooperative union,Uganda,bulago & buginyanya,5055,bcu,bugisu cooperative union,1800,eastern,Bulago & Buginyanya,20,1218 kg,Uganda Coffee Development Authority,2015,"July 21st, 2016",Bugisu Cooperative Union,SL14,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,0.11
Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,MCCFWXA15/16,matsuzawa coffee,matsuzawa coffee,1200,thailand,Matsuzawa Coffee,500,25 kg,Specialty Coffee Institute of Asia,2015,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Catimor,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,0.13
Arabica,consejo salvadoreño del café,El Salvador,la joya,73,el borbollon,consejo salvadoreño del café,1330,apaneca,"Ibero El Salvador, S.A. de C.V.",275,69 kg,Salvadoran Coffee Council,2016,"April 25th, 2016",Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,0.11
Arabica,carcafe ltda ci,Colombia,NA,NA,neiva,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,275,70 kg,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,0.12
Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,NA,NA,bourbon specialty coffees,NA,vale da grama,GABRIEL CARVALHO DIAS,300,60 kg,Brazil Specialty Coffee Association,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,0.12
Arabica,ngila estate ltd,"Tanzania, United Republic Of",ngila estate,NA,ngila estate ltd,ngila estate ltd,1600,karatu northern,Ngila Estate Ltd,39,60 kg,Africa Fine Coffee Association,2014,"December 12th, 2014",Ngila Estate Ltd,Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,0.13
Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,NA,trilladora boananza,ecom cca sa,1813,huila,NA,250,70 kg,Almacafé,2014/2015,"October 15th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,0.12
Arabica,juan luis alvarado romero,Guatemala,el papaturro,NA,beneficio ixchel,"unex guatemala, s.a.",4000 psnm,oriente,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2013,"August 21st, 2014",Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,0.1
Arabica,juan luis alvarado romero,Guatemala,finca medina,NA,beneficio siembras vision (154),"siembras vision, s.a.",1500 msnm,antigua,"SIEMBRAS VISIÓN, S.A.",250,69 kg,Asociacion Nacional Del Café,2014,"February 18th, 2014",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,0.1
Arabica,juan luis alvarado romero,Guatemala,el morito,NA,beneficio ixchel,"unex guatemala, s.a.",4300,oriente,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2013,"July 16th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,0.11
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,kona pacific farmers cooperative,NA,kona,NA,13,100 lbs,Specialty Coffee Association,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,0
Arabica,exportadora de cafe condor s.a,Colombia,various,NA,trilladora boananza,exportadora de cafe condor s.a,1450 msnm,cundinamarca,Exportadora de cafe condor,250,70 kg,Almacafé,2012,"June 26th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,0.11
Arabica,federacion nacional de cafeteros,Colombia,NA,NA,NA,NA,NA,huila,NA,250,70 kg,Almacafé,NA,"February 1st, 2011",Federación Nacional de Cafeteros,NA,NA,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,0.1
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,NA,NA,NA,NA,kona,Kona Pacific Farmers Co-Op,12,60 kg,Specialty Coffee Association,2010,"December 27th, 2010",Kona Pacific Farmers Cooperative,NA,NA,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,0.01
Arabica,doi tung development project,Thailand,doi tung development project,NA,NA,NA,NA,NA,Doi Tung Development Project,4,1 lbs,Specialty Coffee Association,NA,"April 13th, 2010",Doi Tung Development Project,Peaberry,NA,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,0.11
Arabica,grounds for health admin,Mexico,NA,NA,NA,NA,900-1200mtr,nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",6,6,Specialty Coffee Association,January Through April,"May 26th, 2010",Grounds for Health Admin,NA,NA,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,0.09
Arabica,exportadora de cafe condor s.a,Colombia,various,68-0054,bonanza - armenia,exportadora de cafe condor s.a,1650,huila,various,275,70 kg,Almacafé,2016,"November 8th, 2016",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,0
Arabica,racafe & cia s.c.a,Colombia,NA,3-37-3729,bachue,racafe & cia s.c.a,NA,guayata,NA,130,70 kg,Almacafé,2016,"June 15th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,0
Arabica,racafe & cia s.c.a,Colombia,NA,3-37-2623,bachue,racafe & cia s.c.a,NA,huila,La Plata,275,70 kg,Almacafé,2016,"May 5th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0
Arabica,ipanema coffees,Brazil,rio verde,NA,ipanema coffees,ipanema coffees,1227,south of minas,Ipanema Agrícola SA,10,2 kg,Specialty Coffee Association,2015/2016,"October 12th, 2015",Ipanema Coffees,Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,0.1
Arabica,andreas kussmaul,Mexico,ecc,NA,ecc,exportadora café california,1200,chiapas,ECC,275,1 kg,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2014,"July 14th, 2015",ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,0.12
Arabica,exportadora de cafe condor s.a,Colombia,various,NA,trilladora agricola,exportadora de cafe condor s.a,1650 msnm,santander,varios,275,70 kg,Almacafé,2015,"April 8th, 2015",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,0.11
Arabica,afca,"Tanzania, United Republic Of",mondul coffee estate,NA,mondul coffee estate,mondul coffee estate,1700,arusha,Mondul Coffee Estate,10,60 kg,Africa Fine Coffee Association,2014,"December 12th, 2014",AFCA,Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,0.12
Arabica,j.andrade,Mexico,el pino,NA,"el pino, cosautlan de carvajal","café andrade, s.a. de c.v.",1100,veracruz,JOSÉ LUIS ANDRADE SANDARA,200,1 kg,AMECAFE,2013,"July 15th, 2014",J.ANDRADE,Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,0.12
Arabica,the coffee source inc.,Costa Rica,several,NA,cafe altura de san ramon,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"April 7th, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0.12
Arabica,eileen koyanagi,United States (Hawaii),NA,NA,NA,kona pacific farmers cooperative,NA,kona,NA,12,100 lbs,Specialty Coffee Association,2014,"February 25th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,0.11
Arabica,eric thormaehlen,Costa Rica,several,NA,several - coricafe dry mill,coricafe s.a.,1100-1300,central valley,CORICAFE BLEND,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"February 14th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,0.11
Arabica,dane loraas,Peru,NA,NA,NA,sustainable harvest,NA,NA,NA,280,5 lbs,Specialty Coffee Association,2013,"January 21st, 2014",Dane Loraas,NA,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,0.12
Arabica,itiah coffee llc,Haiti,marre blanche,NA,NA,itiah coffee llc.,4200 feet,"thiotte, haiti",COOPCAB,2,4 lbs,Specialty Coffee Association,2012,"October 3rd, 2013",ITIAH COFFEE LLC,Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,0.11
Arabica,carcafe ltda ci,Colombia,NA,NA,neiva,carcafe ltda,1000 msnm,pitalito,ORLANDO ORTIZ / HIPOLITO TORRES,250,70 kg,Almacafé,2013,"April 26th, 2013",CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,0.11
Arabica,juan luis alvarado romero,Guatemala,el sacramento,NA,beneficio ixchel,"unex guatemala, s.a.",4300,oriente,LUIS RODRIGUEZ,250,69 kg,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,0.11
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,kona pacific farmers cooperative,NA,kona,NA,7,100 lbs,Specialty Coffee Association,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,0.1
Arabica,steven kil,Burundi,sogestal kayanza,NA,kiriyama washing station,the specialty coffee appraisers institute of asia,1880,kayanza,NA,220,60 kg,Specialty Coffee Association,2012,"August 29th, 2012",Steven Kil,Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,0
Arabica,exportadora de cafe condor s.a,Colombia,NA,NA,trilladora boananza,exportadora de cafe condor s.a,1750 msnm,huila,condor,250,70 kg,Almacafé,2012,"May 30th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,0
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,NA,kona,NA,27,100 lbs,Specialty Coffee Association,NA,"September 20th, 2011",Kona Pacific Farmers Cooperative,NA,NA,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,0.01
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,NA,NA,NA,NA,25,100 lbs,Specialty Coffee Association,NA,"February 24th, 2011",Kona Pacific Farmers Cooperative,NA,NA,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,0
